"Room","Pos_x","Pos_y","Pos_z","Or_x","Or_y","Or_z","Or_w"
"sala",-0.02240631327464616,-0.06580093696704481,0.0,0.0,0.0,-0.0012917653772116628,0.9999991656707571
"palestra",2.3201494606344912,1.7042523758715002,0.0,0.0,0.0,0.7274256683143948,0.6861864885563954
"cucina",6.595103619806732,-4.111189657591425,0.0,0.0,0.0,0.9387402199054392,0.3446255932630186
"letto",-6.280641279231467,0.04387349195270724,0.0,0.0,0.0,0.995144802053134,0.09842165893048474
"giochi",-6.32474704575017,-3.549474403205763,0.0,0.0,0.0,-0.8574923038911902,0.5144967917950302
"foto",0.7280967234121397,-3.6667618943964815,0.0,0.0,0.0,-0.06457831206790732,0.997912642274092
"tavolo",5.569510647652974,0.4814670036593267,0.0,0.0,0.0,0.7147609259421712,0.6993688717309987
